time,l_shoulder,r_shoulder,l_hip,r_hip
136.28,65.1783543946,55.9719239663,-38.7360488781,25.8369634715
136.3,61.6000830395,61.6891146232,-33.3239324511,28.6063446246
136.32,57.3872121203,67.4850746549,-29.1766416251,31.2962835237
136.34,52.6066182567,72.6117974022,-25.3367225001,33.0411906919
136.36,46.503621214,78.3064002374,-21.1841305382,35.087921593
136.38,45.1710136207,77.1497400585,-17.4362562844,35.5140987537
136.4,39.8809185901,81.0265583464,-14.3453390866,23.1266598331
136.42,32.5042652263,83.8027431338,-8.7072160273,-6.7840479587
136.44,30.3036607838,81.9031676843,-5.2327634399,-33.874581052
136.46,28.986019058,79.052221503,-0.9789812491,-49.0570323199
136.48,30.6539811132,73.734670733,6.1179496672,-51.52314045
136.5,32.947345763,67.8206741319,10.299107801,-47.8291760513
136.52,31.2104804965,64.2958929291,16.4481147039,-48.9056478366
136.54,33.0015816278,60.9144525779,19.8781607728,-47.0993939398
136.56,35.4305248673,58.3612459184,22.4518103248,-41.9520199336
136.58,38.5049503473,54.1121991284,24.6983853768,-39.4293959271
136.6,41.6646382084,51.3267154175,26.743198212,-36.1561092127
136.62,43.9697401986,49.9465704783,28.9492979203,-33.5615761198
136.64,46.6087914935,48.0790992278,31.2075873949,-32.0850095046
136.66,55.137485084,42.0244468562,33.3250038495,-27.1208189538
136.68,64.8164964395,35.4987560438,34.0642965925,-22.0114107332
136.7,69.5915409472,34.2368815071,32.5338408901,-16.5939524888
136.72,70.0263678759,34.6966586478,32.9153481544,-12.3986986295
136.74,74.9422330694,33.9404702242,20.0182326936,-6.052041102
136.76,80.178542562,29.6390990923,-6.4539890792,-5.8463150452
136.78,81.3350778461,28.3778510488,-29.3687986073,-0.1751838469
136.8,78.5281990799,31.2208138175,-42.0568296239,3.1445478289
136.82,76.9865897655,34.0156391602,-47.1121088736,7.9535357725
136.84,75.2071848197,37.6754923699,-48.5998623113,13.3979486691
136.86,71.2090442442,44.2973887093,-44.1097292573,18.7514914383
136.88,66.2985012783,53.0923566481,-40.2047863559,24.7484748162
136.9,61.1399600236,60.6099522418,-36.8377795098,27.6216891991
136.92,59.2545298053,63.5680709064,-37.6993480622,28.8549721562
136.94,58.8106324912,64.5170892988,-38.9843553024,29.3645843722
136.96,58.6617248548,65.441943012,-38.8495932401,30.5358062706
136.98,57.2536028654,67.7366653168,-36.2059254891,31.7976265883
137,54.3680049539,71.4707150963,-31.7288173532,33.6227745781
137.02,50.7007485183,75.1100698506,-25.6351807005,33.8708297173
137.04,46.6641804942,78.8080779885,-22.0346589142,35.7078226997
137.06,44.1234634769,79.4969791621,-18.7191773998,33.100739318
137.08,40.1813552248,81.5854711822,-14.5676420807,25.0472434188
137.1,36.4493422013,80.7752192427,-8.1345146702,6.3505970659
137.12,35.7089594625,78.3411033212,-4.2561876872,-13.328189031
137.14,32.5764770315,76.8506205224,-3.6132679451,-34.6274213604
137.16,32.8422767748,71.3297233686,4.9917244604,-47.3308866076
137.18,34.283758522,67.6198147464,9.3613006529,-50.5060327778
137.2,35.6566114595,65.2938824094,11.9928817157,-49.0235529576
137.22,38.1900336829,61.7002474255,16.7541462955,-46.5804857116
137.24,39.3835475109,59.9439668193,21.116406893,-43.3430386419
137.26,42.1835237833,55.8853343265,26.480953244,-41.667848013
137.28,45.8231245054,52.2796060131,30.4720578635,-41.9747020473
137.3,53.0753785024,46.9429169794,26.6535432374,-34.7407608712
137.32,59.08880753,44.0190638974,17.9029619778,-24.1094958185
137.34,65.3451180211,41.0229435242,7.6833000141,-13.183234269
137.36,69.058233208,39.3523762054,-1.9188079554,-8.0308192211
137.38,70.9154633612,38.5952007422,-10.9327880608,-4.523353404
137.4,75.8212742283,35.2906171132,-22.2728211328,0.1385371987
137.42,78.3327528473,31.730616529,-31.232692729,3.2782363903
137.44,76.4577932484,33.0561996237,-38.6178668089,3.1133360702
137.46,79.0331241674,32.8753698621,-46.0161949958,9.5997975189
137.48,75.7728841314,39.5431022164,-47.7685872265,16.4877410835
137.5,73.9675493945,43.315390624,-46.3501421203,20.1360715753
137.52,71.0361809961,48.4043293935,-44.0035230368,24.9937559615
137.54,66.2536515318,55.2304010508,-40.2282439073,27.0630841697
137.56,62.6287370284,60.3530511707,-36.7550486459,28.7997295351
137.58,60.1733753723,63.7256477563,-34.3102371313,30.2075664949
137.6,57.644911138,67.585878767,-30.760720576,32.3514542238
137.62,53.7166370181,71.8185409108,-27.360492345,34.2496823241
137.64,47.4301151852,78.2793395983,-23.1534005599,38.3460740928
137.66,42.7045318669,82.2580837768,-17.5145096161,35.7361956125
137.68,41.2923663494,79.596678174,-14.8335067019,22.8287010768
137.7,41.1732651525,76.7041087627,-8.0187680181,3.6004129944
137.72,34.6637701157,78.2780776416,-4.7155512302,-25.8433093286
137.74,30.8070688612,79.0023158359,-0.8177810793,-41.2532269336
137.76,30.6449504,76.0723332155,4.8626274906,-46.2193381909
137.78,31.2687757134,72.6340856302,8.1861281785,-47.5037530274
137.8,30.3363720487,70.2660001781,10.4855204939,-49.1844103044
137.82,29.3225097274,68.3663732552,13.9635726728,-47.1049891963
137.84,29.3658100405,65.4465869476,18.2908355104,-44.1769491336
137.86,33.5620592111,60.6521575521,22.0452941725,-40.4459000082
137.88,38.3322009187,54.7544405591,28.3114897303,-39.5004894512
137.9,43.4874270428,49.9511578685,29.099761024,-37.2696039284
137.92,47.3084611752,47.6890904472,28.6060813321,-33.7463339448
137.94,50.3850515937,46.3588560717,30.2465277066,-30.5445963016
137.96,55.1163123739,41.4086333093,32.9603091785,-31.5294395076
137.98,62.7466990044,36.7347031344,34.0794959663,-26.32678874
138,67.5516064877,35.5880778068,36.9420078671,-23.0421386597
138.02,72.9303321134,29.982671673,32.6830048362,-14.4996531691
138.04,75.0437304653,30.0155831159,13.5268628912,-12.6467697676
138.06,75.8006826758,31.194834955,-1.8995801543,-8.6838079572
138.08,77.9271047722,30.4408198234,-19.8553033416,-4.5509752953
138.1,77.7531834638,30.9651768467,-31.982163609,-0.9257144642
138.12,77.2728737005,32.5806175516,-41.7058283403,3.8040776359
138.14,75.468165865,35.1994520555,-48.4760912591,7.1943594503
138.16,76.0064308036,34.7984614064,-47.2996766423,9.4971675162
138.18,79.3571442481,33.3297363953,-48.5008241671,13.0753364284
138.2,75.2797081453,40.8557832887,-47.1893943631,18.4228638557
138.22,71.9806700665,46.1500161059,-44.2828561849,21.6122785926
138.24,66.94931807,53.5239052868,-40.5061853877,24.7350861256
138.26,63.9828476113,57.8756524596,-36.9244426846,26.1122686376
138.28,61.833888315,60.755381139,-34.1261714331,27.7921546484
138.3,59.9923010636,63.4681149679,-32.1010429827,29.7858685356
138.32,57.335767356,67.3899939565,-30.4622388841,32.0400314496
138.34,53.5670535744,72.0107866848,-27.3032345397,34.2706522294
138.36,46.6408910939,79.2945859644,-22.4587076372,37.4687465447
138.38,41.6117875935,82.5767317787,-17.7363492769,34.0349229452
138.4,38.5694426874,80.6131146539,-11.1656462453,15.7819565402
138.42,36.0521035398,79.8764195203,-4.3132147003,-3.107820614
138.44,32.9358571528,80.8441896084,-8.5753446639,-28.7456427125
138.46,33.0191122159,77.6139655128,-5.3319714549,-43.0010884054
138.48,32.6672673187,73.559354829,3.1051074066,-49.923114087
138.5,33.6250256431,70.2366211018,7.1092057598,-49.3866242679
138.52,33.5580615814,68.062238979,9.7571019842,-48.4153492208
138.54,32.1672320437,67.3949356083,11.632076378,-47.4412064013
138.56,30.6367806244,65.8942075249,14.1533183074,-45.437822447
138.58,31.0491306095,62.7843972336,18.3404643288,-44.5368571071
138.6,35.8378776135,58.0838698163,20.7659759335,-42.7190977066
138.62,38.0021681366,55.0535032922,25.0801832053,-41.293336768
138.64,40.304833909,51.8442050577,28.8267910371,-38.5657740981
138.66,43.1175673253,49.6405508173,29.7553126491,-37.3097307302
138.68,47.8929043109,47.1640838732,31.6014691927,-33.016972809
138.7,53.2980408942,45.0362236182,31.0309099952,-27.2465596305
138.72,63.0319330131,38.2716489631,32.906533821,-21.4689743393
138.74,69.5273292387,34.4020147629,34.4698369701,-15.1110595399
138.76,71.1555043769,33.3599078134,35.4891106864,-15.0599680643
138.78,76.6484141625,32.1425813523,13.0707542845,-7.3081341361
138.8,78.7200452591,30.7415640156,-15.8602490352,-4.695557977
138.82,79.854006887,29.7941948485,-37.2642934817,0.025571997
138.84,79.4002470389,31.3398930607,-48.2788471295,5.2427224485
138.86,78.2103937154,33.6518276487,-54.6736489877,10.3985184295
138.88,77.2021107219,35.644383031,-57.3994041929,14.5598866392
138.9,76.7336494644,37.7798393773,-56.4321223768,16.656392053
138.92,74.5255761349,40.5718060192,-48.6700225749,14.9333717078
138.94,73.8766530011,41.6753760095,-45.5448847043,16.0075547095
138.96,72.7989506114,44.4021030875,-44.5207587969,18.5346506726
138.98,70.7573220555,47.9835884756,-39.7849488598,20.8782752923
139,66.234505731,55.1839272638,-38.0004700743,23.9528046323
139.02,62.4556780133,60.2859923687,-35.5121170146,27.0006483067
139.04,60.7268898491,62.8438048956,-33.0141801806,29.6303198848
139.06,58.4008937632,65.686388198,-30.8531433976,31.6350351771
139.08,55.0269980032,69.9836128181,-28.3953266922,32.9636616489
139.1,47.3258025506,78.8544591879,-23.6578854396,36.1885928061
139.12,43.1075822601,81.9920705399,-19.3069832937,36.0115381567
139.14,38.1588288587,84.5639542703,-14.6029658097,26.8582561581
139.16,37.3788228392,80.93943674,-5.0674670947,9.2312459633
139.18,33.0469979376,82.6395706519,-7.770269318,-23.0126784129
139.2,33.0501321724,81.2365383263,-8.0034215783,-42.4771246275
139.22,36.7282436443,72.4640651599,1.4697231206,-48.1040104125
139.24,37.429089266,66.8683393816,5.6455362863,-48.4619393797
139.26,35.6375857563,64.9573520406,8.7685096964,-47.7388331107
139.28,33.6415660182,65.3036366521,10.6942276471,-46.7912005066
139.3,33.5802789484,62.8930130031,13.312477021,-44.7495476519
139.32,33.3460834972,60.6902279057,17.9437377653,-43.9080673978
139.34,34.7235310382,59.6959315012,22.843288565,-42.645904294
139.36,38.676066821,56.3926056964,27.0085481158,-38.4576258139
139.38,42.6468806636,53.3109243647,28.6987645147,-35.7764411928
139.4,46.9398612247,50.7823663967,30.9021653821,-33.2832593019
139.42,53.4134746468,45.310793027,32.6268689508,-31.5582478857
139.44,58.8068785744,41.8645114881,35.4510276208,-27.7800535751
139.46,69.9216561006,35.1286760802,37.461100939,-19.5946618435
