time,l_shoulder,r_shoulder,l_hip,r_hip
303.46,37.2820966241,21.1193405752,-13.2136945286,3.443743152
303.48,42.5565488928,26.0544993146,-18.1120562974,-1.3062524398
303.5,46.2790188925,30.0838048959,-22.6964480409,-4.4952946824
303.52,47.9437242762,34.7458350054,-27.299670616,-8.0636370931
303.54,50.9480011108,41.0712459427,-31.8996707937,-14.6413928285
303.56,52.6787156993,46.4429937573,-36.3502124414,-19.792460033
303.58,53.5935437667,51.8009450876,-41.68880714,-24.998122537
303.6,52.5200855869,55.7052257997,-43.7758359868,-31.4675489714
303.62,50.0531309103,58.9460111596,-45.5755023905,-36.9778693361
303.64,43.77195589,59.8626841077,-45.3624523334,-42.2197700066
303.66,37.3269185057,60.5525459817,-43.0048971616,-49.771099098
303.68,28.2355674232,58.0912778071,-38.1053248366,-53.3538679863
303.7,22.2487381356,55.9365324158,-35.5932001827,-54.2768247469
303.72,19.6137078255,54.5986469855,-33.5123523571,-55.0697131619
303.74,16.6078345643,53.3996525567,-31.7211346507,-54.1690624047
303.76,10.797465722,51.5199475166,-28.3060902251,-54.8899723858
303.78,5.790496824,48.2902826823,-22.7662792804,-54.0231765796
303.8,0.2095232226,42.7234932074,-15.8181614399,-48.976279696
303.82,-4.1344061173,37.6428210539,-9.7759514858,-43.5822961879
303.84,-6.6187410348,32.4742147742,-2.5013127838,-37.6898995394
303.86,-8.9691906059,25.3317998729,5.3192253567,-28.2674554062
303.88,-8.6829918902,21.1301848691,9.1350709699,-20.4288488264
303.9,-6.9133868373,18.3055281988,12.6237157544,-14.626488929
303.92,-5.7581637807,14.809568901,15.2203920853,-8.2601660223
303.94,-6.8218177941,10.2222376932,18.399079081,-2.0771889575
303.96,-5.4398128808,6.3880313243,21.1671743022,2.5187794192
303.98,-4.4263258908,3.0649805336,22.6959540441,7.7058365268
304,-4.2424882197,-1.4866043958,24.0444429485,14.1971229831
304.02,-1.5372584088,-4.3236069625,24.7136192131,17.9386811896
304.04,-0.7066942797,-6.4519377445,25.3304339114,21.2921816466
304.06,-4.8203983364,-10.7781003846,29.0694254387,24.6507345352
304.08,-3.569217743,-13.0702294633,30.0848457853,27.8175143438
304.1,-0.3326799161,-13.1532877891,28.2629434929,28.9406578123
304.12,2.2705426675,-12.6917157938,25.7082305314,30.1864976385
304.14,5.5348719344,-11.1800818586,23.7498123306,29.1897656454
304.16,10.442704896,-11.4429688991,21.126251353,29.9969692463
304.18,10.4681505128,-10.3065253173,19.9209505954,28.7387039214
304.2,15.033484086,-6.0290692449,16.0467700518,25.330873585
304.22,21.0385434496,-3.4208840232,11.0428595732,24.2936476529
304.24,25.5768321831,-0.9469083277,6.1540901547,23.0714875346
304.26,30.9975058905,2.2781460605,1.7852691391,20.5340317938
304.28,32.2041951873,3.2625745408,0.5031839545,19.4950738711
304.3,33.9723869163,3.4380368875,-1.5418419039,19.0881489169
304.32,36.1781424201,2.8310198106,-1.8527206182,19.177708667
304.34,36.4361384899,2.7515258157,-1.7680390045,19.0843991283
304.36,38.724757691,7.0340962028,-6.0879696938,16.4828448696
304.38,44.4682315192,13.5965013029,-12.2596931983,11.7211343707
304.4,50.9135247806,20.4485274987,-19.8687876729,7.6155483174
304.42,53.4155967828,27.9737203788,-26.4073245542,2.7567411991
304.44,55.4743822848,33.5382713697,-29.9800117055,-2.8123283143
304.46,55.3531180697,35.7392640213,-31.3824300055,-5.0488771339
304.48,52.9395990199,36.9558385784,-31.9011938208,-6.3059036546
304.5,55.0245283712,41.4703402575,-35.4563638954,-10.433394822
304.52,57.870352394,46.23540004,-40.3191937663,-14.5403751279
304.54,57.4470343312,50.370811164,-43.7997590426,-18.4886045324
304.56,55.6741574118,52.8537494703,-44.2673895235,-24.0592372075
304.58,51.0771727969,51.6674379814,-41.9756785513,-25.2783179516
304.6,49.0388264861,53.6098788155,-43.3120161873,-28.0741939384
304.62,48.5560026658,56.5894787485,-44.2214775157,-32.3585216207
304.64,46.6638395671,57.2156616939,-43.6704448844,-34.0582531746
304.66,44.3733909739,58.3029136607,-44.0121606565,-36.0003653914
304.68,47.6017819648,63.2259225582,-47.8952229004,-40.5416522891
304.7,50.1959799846,66.6875507509,-51.2872313737,-43.146838582
304.72,50.804757092,69.4759700927,-54.4214129242,-44.7946370376
304.74,52.232605413,71.3161281885,-55.7098654091,-46.9346796423
304.76,52.419343425,71.0966438668,-55.6753917763,-46.4338683519
304.78,51.7755448552,72.1712576664,-56.825122367,-47.7330138326
304.8,49.9019647144,71.5503550499,-54.5952863661,-49.1835037522
304.82,47.3792111634,68.6980681702,-51.4867535767,-47.1825397736
304.84,44.1434702472,65.7167529336,-48.2930959201,-45.0550137445
304.86,45.3361735674,66.086598671,-47.8802870102,-45.9583903919
304.88,46.4983198781,65.9194867223,-47.8702977569,-44.8967133822
304.9,44.5534148011,64.2770056852,-45.8583258051,-43.0208027275
304.92,41.6672276555,59.6739350484,-39.9782481619,-40.2074393387
304.94,37.3018734593,52.7462078629,-32.9054874124,-33.8092285081
304.96,35.2519982371,49.1654936107,-29.6819401595,-30.1636400701
304.98,33.9503337837,46.5555825239,-25.7231817643,-28.7521236656
305,33.7044138235,40.4929599775,-21.718393956,-22.5761947685
305.02,33.0802766039,36.7445399363,-19.4075822686,-19.079105104
305.04,33.8077534273,33.1938032119,-16.4823650288,-15.7169363638
305.06,33.9713940706,30.9496962254,-14.7902622411,-12.8622250482
305.08,30.6709142521,26.6509470923,-10.9097115047,-8.0938375401
305.1,29.8296091636,25.8530644814,-8.8955649512,-6.3188760699
305.12,29.4770883702,25.4226645984,-8.5500268935,-4.5622198982
305.14,26.9495508498,22.8001831554,-6.6644439453,-1.8143700277
305.16,27.2980591283,19.6195840154,-4.2967598235,0.3508300291
305.18,26.6832032894,14.0117376528,-1.091327286,5.5696946978
305.2,23.617204851,9.3407968102,2.3652100268,9.511254409
305.22,22.839532517,5.0973113067,5.7286040403,13.5321578127
305.24,20.7731899882,2.1479923688,8.3793020618,16.6148345564
305.26,16.0247224003,-3.3547006396,13.0239879239,21.950596136
305.28,15.8363433435,-6.0008210608,15.1558371774,24.3375222797
305.3,13.5894490055,-7.60780829,16.9705825791,26.0356269727
305.32,9.4209349783,-11.5414012603,20.6451454958,29.5555323045
